Timestamp,Date,Measure,EURC,USDe,USDD,CNHT,USDP,TRYB,sEUR,AUDF,BEAN,EURQ,FRAX,USDS,GHO,GYEN,USDT,USDG,AUDD,PYUSD,USDM,GUSD,deUSD,VCHF,sUSD,1GBP,BRZ,M,USDtb,aUSDT,USDQ,FXD,IDRT,EURS,FDUSD,AUSD,XSGD,ZUSD,USDz,BSC-USD,XIDR,RLUSD,USDV,AGEUR,MXNB,BSC-BUSD,AEUR,USDGLO,USDC,EUROe,USD0,LUSD,MXNT,BUSD,EURCV,omUSD,EURT,EURØP,USDO,USD1,pUSD,USDon,BRLA,avUSD,BBRL,lvlUSD
1682380800000,2023-04-25,Bridged Token Market Cap (Dollar),39385080.57,,716189980.23,2963769.50,1039771640.20,36127463.51,4701650.50,,32131794.93,,1005558127.78,4947362313.14,,17174201.11,82858777566.43,,,,,427219995.67,,33747.20,40589628.38,4515322.18,,,,,,,2341044.09,47080787.26,,,44414907.54,1833642.92,,,4258662.42,,,19439378.05,,,,101155.06,33360383949.18,1035026.67,,274169024.81,1120598.69,6347320567.14,,,44583222.95,,,,,,,,,
1682467200000,2023-04-26,Bridged Token Market Cap (Dollar),39176998.32,,717068434.75,2953349.23,1040564476.31,46432009.57,4685173.00,,32160892.74,,1005875080.79,4958165715.33,,17487598.48,82928184572.78,,,,,426870020.90,,33458.87,39323568.58,4482133.27,,,,,,,2363541.22,46816410.17,,,44304129.92,1777798.55,,,4278896.47,,,19379387.43,,,,101490.86,33492281531.36,1064892.76,,278845869.60,1097317.56,6312853551.32,,,44262852.42,,,,,,,,,
1682553600000,2023-04-27,Bridged Token Market Cap (Dollar),39376091.97,,718525478.66,2955056.15,1039010822.83,52515391.11,4740294.81,,32185481.57,,1001878144.17,4943399705.51,,17423517.85,82830947523.16,,,,,437230897.88,,33697.86,38799645.18,4508724.65,,,,,,,2368771.40,46084770.52,,,44462217.23,1780660.56,,,4276671.91,,,19444050.63,,,,101490.86,33205237505.98,1065120.62,,277600746.11,1112939.79,6277292737.10,,,44512390.63,,,,,,,,,
1682640000000,2023-04-28,Bridged Token Market Cap (Dollar),38995669.56,,719306528.85,2958828.78,1039510836.40,58216744.67,4843996.52,,32188912.56,,1002950180.52,4894356949.06,,16377879.98,82919853249.83,,,,,437248321.33,,33646.72,38767690.98,4520308.47,,,,,,,2392059.45,46158053.98,,,44455439.03,1793251.22,,,4338825.40,,,18947588.02,,,,101490.86,33211772115.52,1063408.55,,277444271.63,1117868.57,6204236030.19,,,44523391.47,,,,,,,,,
1682726400000,2023-04-29,Bridged Token Market Cap (Dollar),38885773.45,,718006680.74,2959503.53,1040016993.09,58399415.81,4850717.56,,32194239.04,,1003953845.07,4893918097.27,,16124394.81,83016914847.38,,,,,435878872.39,,33568.51,38495364.69,4539065.98,,,,,,,2399242.27,46031455.33,,,44370090.24,1808810.19,,,4341924.32,,,18941545.85,,,,101490.86,33198096219.96,1029860.34,,276298859.82,1121069.34,6204115614.01,,,44383924.13,,,,,,,,,
1682812800000,2023-04-30,Bridged Token Market Cap (Dollar),38459202.24,,719033424.99,2961123.72,1039224777.50,59505365.41,4818155.26,,32181210.74,,1005119398.73,4897373588.14,,16423000.03,83027965209.34,,,,,436845720.66,,33629.51,38519158.77,4538286.43,,,,,,,2400513.71,46025464.35,,,44387826.52,1756465.09,,,4339331.09,,,18905045.76,,,,101490.86,33208060622.85,1007599.60,,278176760.00,1104988.75,6201470890.57,,,44393323.89,,,,,,,,,
1682899200000,2023-05-01,Bridged Token Market Cap (Dollar),39452297.57,,734935588.36,2908378.21,1038996302.70,65619954.56,4960282.69,,32265713.34,,1001813544.19,4888417205.26,,16354102.57,83092425154.71,,,,,445532256.93,,33558.44,38160919.86,4541675.26,,,,,,,2396573.73,46047592.55,,,44379159.61,1799882.45,,,4333457.19,,,18801168.07,,,,101490.86,33072310455.59,1036929.48,,276370840.16,1116436.42,6161531677.25,,,44413661.97,,,,,,,,,
1682985600000,2023-05-02,Bridged Token Market Cap (Dollar),39833085.51,,726183538.18,2945848.58,1046876952.40,7648780.09,4982730.11,,31723624.25,,1003688440.34,4863510565.48,,16080548.55,83153139639.90,,,,,452166312.39,,33445.15,37823197.94,4514121.18,,,,,,,2388328.65,45871898.83,,,44370531.53,1788155.95,,,4328723.29,,,19372375.83,,,,101490.86,32952671195.69,1080584.37,,277398759.77,1110095.98,6095955843.89,,,44255433.59,,,,,,,,,
1683072000000,2023-05-03,Bridged Token Market Cap (Dollar),45890927.55,,738127714.75,2957316.54,1039738132.08,17662100.37,4946300.73,,32340017.68,,1004193086.52,4851565737.96,,16225663.14,83154948229.80,,,,,465703420.39,,33711.14,37858224.72,4512470.29,,,,,,,2392000.10,46073826.14,,,44445384.71,1820091.48,,,4335687.81,,,19369982.17,,,,101490.86,32809990058.30,1035632.36,,278623554.16,1103235.63,5988204221.64,,,44460078.96,,,,,,,,,
1683158400000,2023-05-04,Bridged Token Market Cap (Dollar),38751410.10,,737105659.77,2920390.37,1040020000.16,27834485.26,4694183.61,,32152909.28,,1001514252.90,4842123259.41,,16272956.43,83067153316.36,,,,,474185538.88,,33781.95,38109931.64,4541490.39,,,,,,,2410427.49,45780405.48,,,44569288.02,1804719.93,,,4359310.20,,,19174573.82,,,,101490.86,32791093851.06,1098615.64,,279984734.37,1118887.07,5975147154.27,,,44575294.46,,,,,,,,,
